"oz1","oz2","oz3","oz4","oz5","oz6"
-4.9912105e-001,-1.3484119e+000,1.8868751e-001,-5.9930759e-001,-5.6935058e-001,-2.4748931e-001
-1.2536696e+000,-1.0460742e+000,-1.2407151e+000,5.3569802e-001,-6.6491625e-001,7.0556429e-001
1.2031564e+000,1.3634447e+000,7.3047023e-003,5.0503432e-002,2.7507830e-001,-1.7782847e-001
9.7136721e-001,1.4335269e+000,4.4927582e-001,-5.1279516e-001,9.0117691e-001,-7.4198837e-001
-1.3825593e+000,-6.9011431e-001,6.5083319e-001,4.8281063e-001,-5.6364070e-002,3.7160879e-001
-1.6178403e-001,-9.0923932e-001,-8.8064813e-001,7.6649410e-001,-1.0675613e+000,1.0342744e+000
-5.4555028e-001,-1.4011034e-001,3.6076672e-001,3.0595689e-001,-8.3759688e-002,8.0810379e-001
1.8479449e+000,1.4698491e+000,-5.1163977e-001,-1.7036187e+000,-1.7413841e-001,5.2487692e-001
-3.3608275e-001,1.5036367e-001,-1.0290574e+000,-3.6252521e-001,-8.6181707e-001,1.8209918e-001
3.2727508e-001,6.2780196e-001,-2.5589663e-001,-1.4033269e+000,-4.5325456e-001,-1.8022333e+000
8.7152165e-001,1.4214699e+000,2.2397811e-002,-4.2695197e-001,4.3151763e-001,-9.2368970e-001
-1.2514307e+000,-5.8931778e-001,-3.9483670e-001,1.4492843e+000,-4.4848959e-001,1.2989532e+000
-7.4269528e-001,-1.1663518e+000,-1.0786328e+000,-1.4991832e+000,-8.2828310e-001,-2.1763067e-003
-1.0800936e-002,-1.0022320e-002,6.5600858e-001,1.6309968e+000,4.1449029e-001,1.1190725e+000
1.2850414e+000,4.6919243e-001,2.1050648e+000,1.2556582e+000,2.5000269e+000,-4.2305310e-001
9.4197720e-001,1.6274619e+000,7.3473416e-001,-7.3888212e-001,8.0338020e-001,-3.3466750e-001
-6.8377664e-001,2.0606082e-003,-5.5999173e-001,-2.7076072e-001,-8.4359266e-001,5.1457259e-001
3.1765329e-001,1.1584921e+000,-4.5882070e-001,-1.0881906e+000,-2.8459330e-001,-2.3388483e+000
-6.8606680e-001,-3.1573051e-001,5.7523684e-001,1.6618558e+000,5.7502238e-002,1.4832848e+000
-4.7089486e-001,-6.8115968e-001,-3.6800461e-001,-1.2931471e+000,-4.2814352e-001,1.2969134e-001
-8.0509573e-001,-6.1975024e-002,-5.8207121e-002,-1.1379277e-001,-6.1385986e-001,5.4027549e-001
-4.9199049e-001,-9.3023291e-001,2.3667416e-001,1.7895439e+000,-2.1500960e-001,8.8016715e-001
-9.7219423e-002,8.3126332e-001,-1.0406747e+000,-1.5258934e+000,-7.5866640e-001,-1.5265381e+000
-1.3980091e+000,-1.0820281e+000,-3.5784164e-001,-6.8589520e-001,-5.5037791e-001,-3.0381704e-001
1.0292691e+000,1.1537423e+000,8.3790398e-001,-4.1894783e-001,1.2203830e+000,-1.2041781e+000
-1.8567026e+000,-1.1310226e+000,2.8664820e-001,1.1845389e+000,-4.2536491e-001,-2.1939535e-001
2.6062610e-001,3.0489797e-001,4.8890039e-001,6.2635396e-001,3.8108619e-001,-4.8758813e-001
1.0930186e+000,1.0391512e+000,6.6887940e-002,-1.3258352e+000,1.0679397e-001,-1.9278982e+000
8.5572909e-002,1.0879982e+000,2.0532601e+000,1.7659593e+000,1.0174334e+000,-4.3987757e-001
5.3910754e-001,1.1496861e-001,1.1847667e+000,2.5460644e-001,7.0898810e-001,-5.6073426e-001
1.4710508e+000,1.2852110e+000,-4.9121037e-001,-1.0996046e+000,-4.4543455e-001,-4.7973255e-001
2.1265289e+000,1.6009042e+000,5.6786592e-001,-1.6337870e-001,1.0878614e+000,7.4324278e-001
9.5830101e-001,1.3391054e+000,1.9516356e+000,6.2589836e-001,1.7780657e+000,-2.5023929e-001
4.4418272e-001,-3.5309099e-003,7.4134940e-001,5.7175733e-001,6.4775564e-001,3.7507141e-002
-1.6494256e+000,-1.4112584e+000,-4.5889130e-001,-1.4065391e+000,-2.0871924e-001,-7.6511570e-001
-4.1386777e-001,-5.7203388e-001,2.3077275e-001,6.7982946e-001,-6.8689117e-002,9.4328906e-001
1.0047327e+000,1.3608812e+000,-3.4572779e-001,-1.2679671e+000,-3.4657459e-002,-1.1941513e+000
-4.0102476e-002,-5.1858331e-001,-9.0853760e-001,5.7491630e-001,-8.7249320e-001,1.2541115e+000
1.2703054e+000,1.3199176e+000,-7.3226725e-001,-1.4194804e+000,-4.9306149e-001,-5.3686165e-001
5.8334339e-001,6.2063176e-001,-5.4749705e-001,-1.4863148e+000,-3.6702052e-002,-1.9097439e+000
-2.1621017e-001,-6.8529558e-002,-1.0357142e+000,-1.2173224e+000,-8.6023256e-001,2.4775403e-001
-1.0484324e+000,-6.6994841e-001,-7.5192009e-001,-9.4867826e-001,-5.1999495e-001,3.8880782e-001
1.4381489e+000,1.3958129e+000,2.0321267e+000,1.0066689e+000,2.3719975e+000,1.5150834e+000
8.7888199e-001,1.3043246e+000,3.2096725e+000,1.7600491e+000,2.9902288e+000,1.2834634e+000
-1.6781577e+000,-9.8963011e-001,-4.7340408e-001,1.4242974e+000,-7.0506873e-001,2.7781883e-001
1.4800896e+000,1.5636630e+000,5.7328547e-001,-9.4659975e-002,8.5144229e-001,1.1108154e+000
1.9940815e+000,1.0512539e+000,7.1964545e-001,4.3185512e-002,1.4444484e+000,9.4633660e-001
-7.1663009e-001,-9.3973742e-001,-7.8998342e-001,-7.0799665e-001,-8.8383310e-001,4.9505988e-001
1.5472709e+000,1.1613142e+000,8.9107175e-001,3.6517314e-001,1.2562791e+000,3.9408367e-001
4.1812653e-001,3.7825978e-001,2.4139176e+000,1.2774932e+000,2.0174166e+000,3.2223483e-001
-1.5683771e+000,-6.2940533e-001,1.8463748e-001,2.3599354e-001,-3.2327735e-001,1.7285115e-001
-1.8453099e+000,-1.8596887e+000,-9.7816433e-001,1.1425536e+000,-8.1574312e-001,1.4439953e-001
4.3380667e-002,3.4986183e-001,5.8756761e-001,-1.7037929e-001,5.4696258e-001,-3.9431955e-001
-2.2227641e-001,-3.5868647e-001,-8.1032089e-002,-6.1293536e-001,-2.1862408e-001,7.6799776e-001
8.7738100e-001,1.1892037e+000,1.4854548e+000,1.2895249e+000,1.3677287e+000,-5.5430441e-001
-9.3240739e-001,-1.0848261e+000,-8.1789364e-001,-1.5258660e+000,-6.5885142e-001,-2.2770338e-001
-9.2873646e-001,-9.3632774e-001,-9.3789042e-001,1.6759718e+000,-9.7149345e-001,1.3511850e+000
6.4072668e-001,3.3100571e-001,-4.0328913e-001,-8.2390267e-001,-1.5058090e-001,-1.4731916e+000
-1.7548883e+000,-1.4611378e+000,-4.7513345e-001,-8.4680669e-001,-6.1947449e-001,-6.8068233e-001
1.4608101e+000,1.0504881e+000,1.7784907e+000,1.0806980e+000,2.0132130e+000,3.8468179e-001
4.6800846e-001,7.6284268e-003,1.2982814e+000,1.6899460e+000,1.1224187e+000,9.2945108e-001
-5.0766992e-001,-2.3707222e-001,-2.5841359e-001,-3.7768188e-001,-3.9652125e-001,8.9983172e-001
