"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26"
-5.8716747e-001,-1.2752678e+000,8.2623407e-001,-1.0227575e+000,-1.6449709e+000,3.6407606e-001,-3.5892995e-001,9.9650413e-001,5.9575005e-002,1.2933267e+000,1.1292550e+000,2.4985379e-001,1.7998817e-001,-1.0329194e+000,1.0677511e+000,9.6180953e-001,1.1630892e-001,7.3170781e-003,-4.3125121e-001,-9.3251512e-001,1.1476343e+000,-1.5424795e+000,4.1918593e-001,-1.5866997e+000,1.4368683e+000,-6.7085882e-001
5.7597374e-001,1.9140929e-001,1.2412916e+000,7.9867180e-002,4.1664411e-001,-1.2489196e+000,1.2787372e+000,-1.6794500e-001,2.5107256e-001,1.5897936e+000,-1.7949963e-001,4.5925662e-001,1.5540481e+000,1.0770499e+000,-1.0597889e+000,-4.1987782e-001,3.8642960e-001,-1.3823502e+000,-6.2105460e-002,-4.7154776e-001,-1.1619048e+000,-1.6260012e-001,6.3232825e-001,-5.6934562e-001,-1.1903979e+000,-2.3788858e-003
1.1899549e+000,1.4264816e+000,-9.6775623e-003,-9.3453342e-001,-1.3207260e+000,5.0504851e-001,-7.9175541e-001,-1.0441433e+000,1.9931650e-001,-1.6514449e+000,1.7054167e-001,-6.0518903e-001,-1.1768927e+000,1.4396479e+000,1.2944749e+000,-5.2430022e-001,1.0097776e+000,7.4859494e-001,-2.2068760e-001,-9.2066577e-001,-1.5876810e+000,-2.0592947e-001,1.1980759e+000,9.2911326e-001,-5.3978638e-001,-1.1481800e+000
8.7564493e-001,3.9506581e-001,4.7653610e-001,-2.6887360e-001,1.2484341e+000,-3.2610185e-001,-1.7114400e+000,-1.4842449e-001,1.3020616e+000,5.4735682e-002,1.0764595e+000,-4.1640070e-001,-2.0602477e-001,8.3427353e-001,1.3067028e-001,-4.9614911e-001,-7.4153489e-001,-4.4888373e-001,1.5333598e+000,1.4836605e+000,-1.0522564e+000,-7.8341689e-001,1.7413284e+000,3.0861729e-001,1.2477262e+000,-1.3980185e+000
1.8249423e+000,1.7714457e+000,3.8277808e-001,-1.0824090e+000,7.8440110e-001,1.2624978e+000,9.6054650e-001,1.1717676e+000,-1.7182818e-001,1.6484362e+000,1.1765937e+000,1.9580281e-001,-6.9703168e-001,8.4121344e-001,1.1391256e+000,1.7224437e+000,6.4898870e-001,6.0483546e-001,-7.3412845e-001,-1.4286409e+000,-9.4940120e-001,5.9630366e-001,1.0710774e+000,1.4258726e+000,-3.9267016e-001,2.3952420e-001
7.9380243e-001,1.0979495e+000,-6.2450898e-001,9.3515725e-001,1.2881705e+000,-4.9959863e-001,-6.8076955e-002,7.2529159e-001,1.3223677e+000,7.9358545e-001,9.0644309e-001,-9.2663969e-001,-5.2973482e-001,-6.0595669e-002,2.8565825e-001,7.9950279e-001,1.4804330e+000,7.1274652e-001,-1.6533785e+000,-2.8277800e-001,-4.3798160e-001,-7.1227194e-001,1.6261929e+000,-3.7759573e-001,8.8796194e-001,-1.3113933e+000
-3.0942653e-001,-2.1891282e-001,-6.1670654e-001,4.6575375e-001,-2.6058832e-001,-2.3034843e-001,-1.2895949e-001,-1.1345414e+000,5.7009126e-001,-9.8746141e-001,-6.3839944e-001,8.0762461e-001,1.6608609e+000,-4.6448876e-001,-1.2186328e+000,-5.8965773e-001,-6.0517790e-001,1.3539113e+000,9.9626294e-001,-1.1161956e+000,-9.3602546e-001,1.1657957e+000,2.2189513e-001,5.1682674e-001,1.5854004e+000,1.1466757e+000
-1.0004795e+000,-9.9844940e-001,3.4859581e-002,1.3541788e+000,1.5278244e+000,-1.3473562e+000,-1.0366923e+000,-1.2299278e+000,-1.1429737e+000,-1.3393061e+000,-1.6589573e-001,-5.7840767e-001,2.0687622e-001,-1.2393753e+000,1.7524075e+000,1.1877420e+000,8.2010190e-001,-2.8311339e-001,7.4396750e-001,2.3786069e-001,-8.1935903e-001,-1.3279836e+000,1.5231337e+000,-5.6103441e-001,1.6276298e+000,9.6631443e-001
4.1278380e-001,6.2937729e-001,-2.2935394e-001,-7.7601601e-001,6.0328811e-001,1.3680700e+000,1.2690626e+000,7.7010984e-001,-1.0253699e+000,5.2967052e-001,-3.2176276e-001,-8.6460039e-001,-1.5226380e+000,-1.5361538e+000,1.7848824e-001,-1.4883248e+000,-1.7109172e+000,-1.1941638e+000,7.4926509e-001,1.6280248e+000,1.8838695e-001,1.5695030e-001,-5.5982648e-001,-1.4330439e+000,-5.7345787e-001,-1.5956166e+000
6.1157857e-001,1.8362233e-001,1.0667699e+000,3.9162738e-001,-1.4278246e+000,-5.4036628e-001,6.8541271e-001,1.3909274e+000,-4.4564530e-002,1.0793053e+000,1.6151810e-001,-6.6444010e-001,-8.5633802e-003,1.6034556e+000,4.3351700e-001,2.3675810e-001,-2.3495588e-001,9.3703441e-001,1.1494774e+000,3.0166568e-001,4.9409023e-001,1.2322363e+000,-1.4225214e+000,-1.6589971e+000,-4.5814997e-001,-4.0719920e-001
