"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26"
8.4337609e-001,1.1283917e+000,-1.6848573e+000,1.0172914e+000,9.7997139e-001,4.2579341e-001,9.1601423e-001,-8.5463700e-002,1.1062457e+000,1.6132383e-001,-1.6001442e+000,-1.4628446e+000,7.5587098e-001,-1.7216099e+000,-1.5832408e+000,-4.0562546e-001,-1.2053840e+000,1.1640424e-001,-5.6744849e-001,-8.3020011e-001,-6.6479302e-001,6.6310318e-002,-1.0566917e+000,-5.4991344e-001,-4.2197306e-001,2.4039666e+000
1.5905792e+000,1.2894233e+000,-1.6780897e+000,-1.3424994e+000,-1.4095654e+000,-1.7266120e+000,-6.7299798e-001,-1.0140288e+000,-1.7287127e-001,-9.0784348e-001,-1.1449490e+000,-8.9122465e-001,7.0014580e-002,1.1008341e+000,-2.2157821e-001,1.6242790e+000,1.3150669e+000,2.4832971e-001,4.1288616e-001,9.9777423e-001,1.6801279e+000,-4.4097413e-001,9.8304105e-001,6.1378931e-001,1.6423657e+000,-8.3328435e-001
8.4426416e-001,3.5572491e-001,1.2208120e+000,8.0708703e-001,-3.6212012e-001,-1.2971580e+000,-1.7494324e+000,8.4155095e-001,-1.1432497e+000,-1.5317778e+000,-2.5991695e-001,4.8944866e-001,-1.0913501e+000,1.5305081e+000,4.8683730e-001,1.7035878e+000,-1.3460690e-001,1.3109256e+000,1.7071596e+000,3.5038468e-001,-3.0612701e-001,2.0876251e-001,-1.2208147e-001,6.1169162e-001,4.3393018e-001,1.2251606e+000
1.3603071e+000,-5.7973097e-001,-9.2948147e-002,2.9487400e-001,-3.9598024e-001,-7.1866358e-001,-2.6842466e-001,-1.5355447e+000,-5.2444283e-002,-9.1766615e-001,1.4705348e+000,-3.1130220e-001,1.0192976e+000,4.7135655e-001,-1.0212579e+000,-1.3552101e+000,1.2965336e+000,7.4039753e-001,1.0346212e+000,6.4264389e-001,-1.2308170e+000,-3.1184889e-001,-3.8046065e-001,-1.6223139e-003,9.1144091e-001,3.8692122e-001
-7.6906144e-001,-8.8253872e-001,-1.6248162e-002,8.0016868e-001,-7.0286156e-001,5.0550457e-002,-5.1275558e-001,1.4578756e+000,-7.2758510e-001,2.4471990e-001,6.5636577e-001,1.5596880e+000,2.3397308e-002,1.2271529e+000,6.1607880e-001,-2.1916367e-001,-4.5251386e-002,-4.0247374e-001,1.0604372e+000,1.4716118e-001,-8.0520798e-002,-1.5795329e+000,2.4828747e-001,-1.3503626e+000,1.2876859e+000,-4.8021729e-001
1.3020900e+000,-1.3093048e+000,-1.4355340e+000,6.5844948e-001,-1.3725292e+000,-8.8622975e-001,-1.5304002e+000,9.8544961e-001,-2.4840964e-001,2.9583072e-001,-1.2114545e+000,1.0791656e+000,7.5137435e-001,9.2188250e-001,-5.2996496e-001,1.5190097e+000,1.2847306e-001,1.1878340e+000,1.4775685e+000,1.2650524e+000,7.2975796e-001,1.1482404e-002,1.4445265e+000,-6.4245959e-002,-8.8565832e-001,5.0967289e-001
-3.3295809e-001,-8.0024177e-001,-1.1183520e+000,1.7129699e+000,-3.7715959e-001,1.6899603e+000,-5.3399867e-001,-1.2665941e+000,2.6061735e-001,5.0068823e-001,9.6397414e-001,-1.5821163e-001,-1.1599246e+000,2.5386769e-001,-5.3286537e-001,-1.6550006e+000,-1.3468980e+000,-1.0361872e+000,-4.0360249e-001,1.0616701e+000,-1.1868745e+000,-1.6651347e+000,-1.4723870e+000,1.3316712e+000,6.5440942e-001,8.2764375e-001
-4.7650024e-002,9.9572879e-002,1.6921644e-001,1.4872421e+000,4.7652141e-001,1.3979688e+000,1.1661037e+000,8.8708880e-001,-4.7570851e-001,-4.9734133e-001,-9.0601857e-001,1.0545147e+000,-8.3544441e-001,-1.1846709e+000,9.5430846e-001,1.3585997e-002,-9.4035978e-001,-7.6432735e-001,-3.6444260e-001,-8.0281418e-001,1.7525926e+000,-6.8450961e-001,5.7750749e-001,-7.4888039e-002,-9.3516341e-001,1.0504204e+000
-6.9970587e-001,1.3961341e+000,-1.6706742e+000,2.5461459e-001,6.3276699e-001,-3.5267745e-001,-8.5035414e-001,-2.6051368e-002,8.8620515e-001,1.0071348e+000,-1.6002528e+000,9.9188990e-001,3.2418686e-001,6.1003338e-001,4.3772624e-001,-5.5903022e-002,2.9469806e-001,8.7529560e-001,-5.0399340e-001,8.1643623e-001,-2.6702087e-001,-2.8572784e-001,-7.5896920e-001,-1.0651993e+000,1.0585527e+000,1.1417252e+000
-1.5383574e+000,1.1812119e+000,-1.1234056e+000,-5.7539904e-001,-1.4149336e+000,6.2777373e-001,8.8643388e-001,-1.2805603e-001,-2.2943300e-003,-1.0539536e+000,3.7793272e-001,-1.0064572e+000,1.6936756e+000,-9.3618587e-001,6.2669046e-001,2.6470678e-002,-7.2791994e-001,7.4253225e-001,-6.7283946e-001,-1.2017970e+000,4.4068088e-002,-1.7574701e+000,5.9897111e-001,-2.8645482e-001,-1.2866289e+000,-1.4041871e+000
