"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26"
1.2675277e+000,-3.8751218e-002,1.4204851e+000,2.0976006e-001,1.0544554e+000,-1.1998301e+000,-2.7484893e-001,-1.4785323e-001,8.9481393e-001,1.3546648e+000,-1.4528554e+000,-9.2311625e-001,1.3846904e+000,-1.6145993e+000,-1.5663156e+000,1.5429015e+000,-9.7960515e-001,-3.5458642e-001,-8.0163290e-001,-1.4010345e+000,9.5471897e-002,9.4292578e-001,1.3948693e+000,-1.6593424e+000,-9.7294587e-001,1.8021959e+000
3.2756016e-001,-3.0229181e-001,-1.3012921e+000,-1.4279241e+000,-2.1155792e-002,1.8295956e-001,-1.0817720e+000,1.3218246e+000,-9.8872284e-001,-4.8138795e-001,-5.6632719e-001,-2.3740056e-001,5.7009531e-001,3.3581488e-001,-5.6462475e-001,-6.6584935e-002,1.3290344e+000,2.4079429e-001,5.5688709e-001,1.4283553e+000,4.5256182e-001,1.1400291e+000,8.3081999e-001,-4.6837237e-002,6.5259625e-001,-4.9117802e-001
-6.6752718e-001,-6.1508160e-001,-1.1457608e+000,1.0586415e+000,1.5616895e+000,1.0775216e+000,1.6143108e+000,-4.4399069e-001,-8.8583394e-003,1.7732542e+000,5.7885515e-001,9.8392315e-001,2.9764152e-001,-1.0009681e+000,1.2972177e-001,2.8760287e-001,9.6486311e-001,8.9933759e-002,-6.8747992e-002,1.5263354e+000,1.1631372e+000,-1.2116782e+000,-6.3046103e-001,-6.3515750e-001,-1.6842626e+000,7.1539251e-001
9.1916719e-002,-9.0900582e-002,2.7948943e-001,2.9999154e-001,2.2394106e-001,4.0662888e-001,-1.1589896e-001,-6.8041072e-001,-1.6929940e-001,5.8260329e-001,1.3677754e-001,1.3222292e+000,6.7118554e-001,2.4854271e-001,-9.3276248e-001,8.6188091e-001,-1.3360171e+000,-1.3571185e+000,1.6683364e+000,7.7080218e-001,7.1733870e-001,-1.2452371e+000,-5.6213823e-001,1.1584564e-001,1.1146712e+000,3.3503224e-001
-5.0676203e-001,-5.9925168e-002,-1.1558361e+000,-1.7409480e+000,1.6643945e+000,-4.4716678e-001,1.2912141e+000,-7.8449128e-001,-3.5072912e-001,1.6936795e+000,1.3440573e+000,1.5110428e+000,-1.1509595e+000,-7.7313920e-001,1.4487646e+000,-1.2713823e+000,3.7501811e-001,-4.7846227e-001,1.3367448e-002,6.0888664e-001,1.2193679e+000,-7.2618771e-001,2.1927899e-001,4.6929570e-001,-5.5623477e-001,-2.4363789e-001
1.0183627e+000,-6.3267515e-001,1.6747979e+000,9.6641330e-001,-1.4072972e+000,-4.4199133e-001,-1.7639225e-004,3.1571300e-001,-1.6822060e+000,1.3737084e+000,-1.7993270e+000,-5.2976958e-001,6.3124037e-001,1.6817460e+000,1.2771506e+000,-1.0866787e+000,-8.7563437e-001,-8.4658833e-001,-1.4463586e+000,-1.0760371e+000,3.1550513e-001,-4.7149657e-001,-9.1322966e-001,1.4929097e-001,1.2833347e+000,1.4115314e+000
1.1895924e+000,-1.4341529e+000,-9.5064271e-001,-1.0120595e+000,-1.4845082e+000,1.4563236e+000,1.5000512e+000,1.6212907e+000,-3.2772996e-001,9.6498355e-001,-1.7711437e+000,9.8988550e-001,5.6717626e-001,-1.1540251e+000,-1.0916072e+000,-8.6923318e-002,4.9425520e-001,-1.5423454e+000,7.1958548e-001,7.2827651e-001,4.6864828e-001,1.1211807e+000,5.9895811e-001,1.9435400e-001,8.0841512e-001,-1.8369071e+000
2.7034740e-001,9.5849280e-001,1.6065695e+000,-9.4483236e-001,1.3038431e+000,1.3642529e+000,-2.3997602e-002,1.1403979e+000,1.2517138e+000,-5.3476958e-001,2.8018849e-001,1.4407454e+000,-1.4502822e+000,1.4783227e+000,9.1412186e-001,-3.2782357e-001,3.8549128e-001,4.8585406e-001,-1.3909146e+000,-5.3419639e-001,-1.3337608e-001,2.7395345e-001,1.2890825e+000,6.6508358e-001,-7.3976655e-001,1.4892773e+000
-4.6373977e-002,-1.7644620e+000,-7.7995385e-001,2.0948043e-001,5.4852088e-002,4.1724570e-001,6.0295879e-001,-8.8198278e-002,9.7915738e-001,-3.9900904e-001,9.3582973e-001,-6.0290083e-001,9.6769613e-001,1.4591943e+000,7.9687829e-001,7.1484108e-001,1.2400173e+000,-9.1054403e-001,7.3853977e-001,1.6504169e+000,3.5607663e-001,-1.2330698e+000,-1.6335216e+000,1.7429996e+000,6.5011213e-001,-1.0094230e+000
-1.5278388e+000,-1.2054189e+000,-7.1900631e-001,-1.0300580e+000,3.7438398e-002,-1.6043795e-001,1.5746680e+000,-1.5697088e+000,9.0942434e-001,1.7680249e+000,4.1003087e-001,5.6352321e-001,1.4331758e+000,-1.6655870e+000,6.1072080e-001,-1.3964405e+000,-9.9979410e-001,1.0982798e+000,5.4885453e-001,1.1534839e+000,-1.1774002e+000,-1.4544082e+000,-5.1184531e-001,6.0288018e-001,1.2196243e+000,-2.1842701e+000
-1.2418535e+000,-1.0888656e+000,1.5383097e+000,-1.3040298e+000,-1.0375538e+000,8.3148776e-001,-6.6833426e-001,8.6231130e-001,2.0851847e-001,-1.6673119e+000,-1.3984278e-001,-2.0280384e-001,-3.2396005e-001,-6.5034859e-001,-2.1635246e-001,1.1119321e+000,-5.9535475e-001,-5.2799602e-001,3.8043888e-001,-1.5056633e-001,6.4996812e-001,1.3291614e+000,-4.3771270e-001,4.0501993e-001,2.9951702e-001,-1.4852977e+000
-6.3417651e-001,1.7568054e-002,1.6105579e+000,7.6642460e-001,-1.9998205e-001,3.0348505e-001,1.5707821e+000,1.7081577e+000,1.4967764e+000,9.4931232e-001,5.3840786e-001,-1.0842125e+000,-1.1377544e+000,7.4525778e-001,1.9422331e-001,8.9679430e-001,4.8427941e-001,5.7520246e-001,-3.1218953e-001,2.5111412e-001,4.5185830e-001,-9.7879462e-001,-6.9374424e-001,-1.0485714e+000,5.1732385e-001,8.4704696e-001
1.7584309e-001,9.7024010e-001,3.9527333e-001,1.4343204e+000,1.6465055e+000,-7.3016989e-001,-1.6867014e+000,5.9040054e-002,-1.6345737e+000,-2.2486288e-001,-1.3379605e+000,9.0003519e-001,2.8337845e-001,-3.9653255e-001,1.9130135e-001,9.6814535e-001,1.6120325e+000,1.4191610e+000,8.7347007e-001,-1.6612566e+000,-1.1789467e+000,-3.8771419e-003,1.3001840e+000,-3.7018655e-001,-1.5723119e+000,1.9983320e+000
-1.5287108e+000,-5.5612988e-001,1.6605897e+000,2.0340727e-002,-4.5244781e-001,8.3479289e-001,-1.2896464e+000,1.5091447e+000,6.3652405e-001,1.1538449e+000,-1.0452554e+000,-1.4472424e+000,9.6610697e-002,-1.1870224e+000,2.3316679e-002,1.4900281e+000,1.0834065e+000,-8.3826098e-001,-1.0350821e+000,-3.4481647e-001,-1.6663562e+000,-9.0400836e-002,1.5583479e+000,-5.6364051e-002,1.3784811e+000,-4.8359199e-001
-3.0716407e-001,-8.0098754e-001,-1.6950673e-001,1.2290778e+000,-6.5291959e-001,-1.7937038e+000,1.2870730e+000,-1.2683623e+000,-3.9720289e-001,6.6064554e-001,-1.3798635e+000,9.2797258e-001,-1.5666422e-001,1.6695582e+000,-1.4612148e+000,-4.5340183e-002,-1.1695936e-001,-7.2795410e-001,1.7101341e+000,-9.3735173e-001,-1.2135373e+000,-4.8474774e-001,1.8654174e+000,8.4606427e-001,1.2147389e+000,-2.7138860e-001
-1.0578930e+000,3.8896362e-001,1.0983425e+000,1.0672354e+000,2.0962593e-001,-1.3464451e+000,-6.0615561e-001,1.1516866e+000,-6.6415311e-001,-1.2572882e+000,3.3858546e-001,-5.9970919e-001,1.2892423e-001,7.2401369e-001,1.0087525e+000,5.2130192e-001,1.6610944e+000,8.7666895e-001,-2.6793897e-001,-1.6576255e+000,-1.1214710e+000,1.5371282e+000,2.6712111e-001,-9.1999871e-001,-1.2485564e-001,2.3436650e-001
