"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11"
-1.0450585e+000,-1.7820021e+000,1.3576930e+000,-1.0593720e+000,1.0941064e+000,-6.7827250e-001,-5.3553254e-001,-2.5771835e-001,2.8922655e-001,6.1384597e-001,1.3824331e-001
-9.6154872e-002,4.7717579e-001,-7.6911068e-001,-1.2086016e+000,-1.8260266e-001,-1.8862453e+000,-8.6584062e-002,-1.4641136e+000,-5.9474283e-001,-7.8340916e-001,-8.5889537e-001
8.8745584e-001,6.5681536e-001,9.1983918e-001,1.5550289e-001,-1.3953929e+000,1.1613310e+000,2.8933238e-001,-7.7406276e-001,3.7167601e-001,-6.8694002e-001,-1.5932251e+000
1.4531937e+000,1.1638135e+000,2.6848251e-002,-1.2042906e-001,-1.3040881e+000,3.7341761e-001,1.8539635e+000,1.3142612e+000,1.6719796e-001,-4.5157082e-002,-3.4954314e-002
-3.2262851e-001,5.8997632e-001,-1.2011970e+000,-5.6289878e-001,4.7671980e-001,9.1167752e-001,5.0150038e-002,5.4742100e-001,1.4439796e+000,6.3703106e-001,-1.4286203e-001
8.8841412e-001,1.4112938e+000,-4.1297638e-001,1.1419000e+000,1.0899541e-001,-8.6200680e-003,-9.9635286e-001,-2.4511227e-001,1.2613503e+000,-7.0452070e-001,2.6101874e-001
-1.3576597e-001,3.1574599e-001,-9.6827405e-001,-5.4923723e-001,-5.6757788e-001,1.4558796e-001,-1.0457436e+000,1.0270672e+000,3.9954944e-001,3.6349367e-001,-3.1589112e-001
-1.9708052e+000,-2.0383751e+000,-7.9797415e-001,6.8055711e-001,-6.0364806e-001,6.6062345e-001,-1.5754830e-001,4.9153416e-001,2.4385167e-001,8.7488914e-001,-2.2129669e-001
-8.5711181e-001,-1.1426173e+000,7.1233748e-001,1.5545930e+000,1.8566637e-001,-1.2143128e+000,5.3641819e-003,-8.5214832e-002,5.4852951e-002,-9.5571681e-001,1.2162166e+000
-6.4353427e-001,3.0085477e-001,-1.6859741e+000,-1.6551276e+000,-7.6944885e-001,1.1110513e+000,-1.5413212e+000,9.8177861e-001,-6.1156754e-001,-6.3300452e-002,5.0832080e-001
1.5696778e-001,-2.0921537e-001,5.6334956e-001,-7.2311414e-001,-1.3607566e+000,-2.6458869e-001,-3.2505446e-001,1.4401585e-001,-8.8564773e-001,1.3442933e+000,-3.2456026e-001
-6.2311404e-001,-5.7749554e-001,-2.3764538e-001,-5.8219125e-001,7.1081802e-001,-9.1401115e-001,1.6518279e-001,4.1945370e-001,7.0070281e-001,-1.0636686e+000,9.0421365e-001
6.9557186e-001,1.2453922e+000,-5.7070623e-001,-1.4972341e+000,5.6785951e-001,1.1845741e+000,-1.6059765e+000,-4.7739520e-001,-1.4085309e+000,-1.5373470e+000,-1.5246215e+000
